query,result,inference_time,device
APICTA Awards là giải thưởng gì?,"
Giải thưởng CNTT Châu Á – Thái Bình Dương (APICTA Awards) là giải thưởng công nhận các ứng dụng, sản phẩm, giải pháp, dịch vụ phần mềm và CNTT xuất sắc của các quốc gia trong khu vực Châu Á – Thái Bình Dương.",42.73340344429016,NVIDIA GeForce RTX 4050 Laptop GPU
Thông tin về ông Trương Gia Bình?,"
Ông Trương Gia Bình là một nhân vật nổi bật trong ngành công nghệ thông tin của Việt Nam. Ông là người sáng lập Tập đoàn FPT, một tập đoàn đa quốc gia có trụ sở tại Việt Nam, cung cấp một loạt các dịch vụ công nghệ thông tin, viễn thông, giáo dục và các giải pháp phần mềm. Dưới sự lãnh đạo của ông, Tập đoàn đã phát triển từ một công ty nhỏ thành một tập đoàn đa quốc gia với hơn 20.000 nhân viên và doanh thu hàng tỷ đô la. Ông cũng là người sáng lập và Chủ tịch Hội đồng Quản trị của Trường Đại học FPT, một trường đại học công nghệ với các cơ sở tại Việt Nam và Lào.",65.36037015914917,NVIDIA GeForce RTX 4050 Laptop GPU
Tập đoàn FPT được thành lập như thế nào?,"
Tập đoàn FPT được thành lập vào ngày 13 tháng 4 năm1986 bởi ông Trương Đình Trúc, một kỹ sư trẻ người Việt Nam.",21.810161113739014,NVIDIA GeForce RTX 4050 Laptop GPU
Ngành học nào phổ biến nhất tại đại học FPT?,"
Tại Đại học FPT, ngành học phổ biến nhất là Công nghệ thông tin, tiếp theo là các ngành Kinh tế, Thiết kế đồ họa, Ngôn ngữ, Kiến trúc, Quản trị khách sạn và các nhóm ngành khác có liên quan.",28.375064611434937,NVIDIA GeForce RTX 4050 Laptop GPU
"Sau khi tốt nghiệp Đại học FPT, sinh viên có thực sự là tìm được việc làm hay không?","
Sau khi tốt nghiệp Đại học FPT, sinh viên thường có thể tìm được việc làm. Sinh viên được tiếp xúc với các dự án, bài toán hiện có trên thị trường trong hai năm đầu tiên và có cơ hội làm việc chuyên môn trong doanh nghiệp trong khi vẫn đang học. Điều này giúp họ có hiểu biết thực tế, tiết kiệm thời gian thực tập sau tốt nghiệp và có định hướng phát triển phù hợp. Ngoài ra, họ có thể có được kinh nghiệm học tập tập thông qua các học phần, hoạt động cộng đồng ngoại ngữ và học kỳ nước ngoài.",54.330947160720825,NVIDIA GeForce RTX 4050 Laptop GPU
Triết lý đào tạo của đại học FPT là gì?,"
Triết lý đào tạo của Đại học FPT là ""đào tạo là tổ chức và quản trị việc tự học của người học"".",20.15356993675232,NVIDIA GeForce RTX 4050 Laptop GPU
Học bổng tại đại học FPT được tính như thế nào?,"
Học bổng tại Đại học FPT được tính dựa trên các yếu tố như học lực, tài năng, hoàn cảnh kinh tế và các chương trình khuyến khích cụ thể. Mức học bổng có thể dao động từ 50% đến 100%, với mức cao nhất là 140% học phí và thường đi kèm với một khoản sinh hoạt phí hàng tháng. Ngoài ra, sinh viên có thể đủ điều kiện cho Học bổng Nguyễn Văn Đạo, cung cấp hỗ trợ tài chính toàn diện, bao gồm học phí, học phí và sinh hoạt phí.",52.098473072052,NVIDIA GeForce RTX 4050 Laptop GPU
Ý nghĩa của logo FPT là gì?,"
Ý nghĩa của logo Trường Đại học FPT là:

- Màu cam tượng trưng cho sự sáng tạo, sinh lực và chia sẻ cộng đồng.
- Màu xanh lá cây tượng trưng cho sự bền vững, phát triển và kiến thức.
- Màu xanh dương đậm tượng trưng cho niềm tin, tính minh bạch và uy tín.",40.81881928443909,NVIDIA GeForce RTX 4050 Laptop GPU
Một ngày nên uống bao nhiêu nước?,"
Một người trung bình nên uống khoảng 2-3 lít nước mỗi ngày, tùy thuộc vào các yếu tố như tuổi tác, cân nặng, mức độ hoạt động và khí hậu.",19.908331632614136,NVIDIA GeForce RTX 4050 Laptop GPU
Cái lược là cái gì?,"
Một lược là một công cụ được sử dụng để chải tóc bằng cách tạo ra các đường cắt hoặc móc để gỡ rối và giữ cố định tóc. Nó thường bao gồm một khung kim loại với răng hoặc móc có thể được điều chỉnh để đạt được các kiểu chải khác nhau.",30.889437675476074,NVIDIA GeForce RTX 4050 Laptop GPU
