query,result,inference_time,device
APICTA Awards là giải thưởng gì?,"
APICTA Awards, viết tắt của Asia Pacific Information and Communication Technology Awards, là một giải thưởng công nhận các ứng dụng, sản phẩm, giải pháp, dịch vụ phần mềm và CNTT xuất sắc trong khu vực Châu Á – Thái Bình Dương.",41.314237117767334,NVIDIA GeForce RTX 3060 Laptop GPU
Thông tin về ông Trương Gia Bình?,"
Tôi không có thông tin cụ thể về ông Trương Gia Bình trong văn bản cho trước. Vui lòng cung cấp thêm chi tiết hoặc bối cảnh về ông Trương Gia Bình để tôi có thể hỗ trợ bạn tốt hơn.",33.60984802246094,NVIDIA GeForce RTX 3060 Laptop GPU
Tập đoàn FPT được thành lập như thế nào?,"
Tập đoàn FPT được thành lập vào năm 1981.",11.641381025314331,NVIDIA GeForce RTX 3060 Laptop GPU
Ngành học nào phổ biến nhất tại đại học FPT?,"
Ngành học phổ biến nhất tại Đại học FPT là Công nghệ thông tin.",16.122368812561035,NVIDIA GeForce RTX 3060 Laptop GPU
"Sau khi tốt nghiệp Đại học FPT, sinh viên có thực sự là tìm được việc làm hay không?","
3.  Chương trình đào tạo",10.36862301826477,NVIDIA GeForce RTX 3060 Laptop GPU
Triết lý đào tạo của đại học FPT là gì?,"
Triết lý đào tạo của Đại học FPT là ""đào tạo là tổ chức và quản trị việc tự học của người học"".",22.282856702804565,NVIDIA GeForce RTX 3060 Laptop GPU
Học bổng tại đại học FPT được tính như thế nào?,"
Học bổng tại Đại học FPT được trao dựa trên các tiêu chí sau:

1. Trình độ học vấn: Sinh viên có kết quả học tập xuất sắc, có thành tích rèn luyện tốt và có nguyện vọng học tập tại Đại học FPT được xem xét.

2. Khả năng tài chính: Sinh viên có nhu cầu và khả năng tài chính hạn chế được ưu tiên.

3. Tính cạnh tranh: Số lượng học bổng được phân bổ cho mỗi đợt tuyển sinh.

4. Ưu tiên khu vực: Học bổng có thể được phân bổ theo khu vực để thu hút sinh viên từ các vùng, miền khác nhau.

5. Ưu tiên đối với các chương trình đào tạo đặc thù: Một số học bổng có thể dành riêng cho sinh viên đăng ký vào các chương trình đào tạo đặc thù.

6. Ưu tiên đối với sinh viên có nhu cầu đặc biệt: Một số học bổng có thể dành cho sinh viên khuyết tật hoặc các đối tượng có nhu cầu đặc biệt khác.

Học bổng được trao dựa trên kết quả phỏng vấn hoặc đánh giá cá nhân, có thể bao gồm kiểm tra năng khiếu, đánh giá trình độ tiếng Anh và thảo luận về mục tiêu học tập và sự nghiệp của sinh viên.",181.35786843299866,NVIDIA GeForce RTX 3060 Laptop GPU
Ý nghĩa của logo FPT là gì?,"
Logo Trường Đại học FPT thể hiện những giá trị cốt lõi của thương hiệu FPT với 3 màu đặc trưng là cam, xanh lá cây và xanh dương đậm. Màu cam tượng trưng cho sự sáng tạo, sinh lực và chia sẻ cộng đồng. Màu xanh lá tượng trưng cho sự phát triển, bền vững và trách nhiệm. Màu xanh dương tượng trưng cho niềm tin, sự chính trực và sự hợp tác.",59.7437539100647,NVIDIA GeForce RTX 3060 Laptop GPU
Một ngày nên uống bao nhiêu nước?,"
Lượng nước cần uống mỗi ngày thay đổi tùy thuộc vào các yếu tố như tuổi, cân nặng, mức độ hoạt động và khí hậu. Tuy nhiên, hướng dẫn chung là uống khoảng 2-3 lít nước mỗi ngày, tương đương với khoảng 8-10 cốc nước. Điều quan trọng là duy trì sự cung cấp nước cho cơ thể và giữ cơ thể đủ nước.",48.19503998756409,NVIDIA GeForce RTX 3060 Laptop GPU
Cái lược là cái gì?,"
Không biết",7.126664876937866,NVIDIA GeForce RTX 3060 Laptop GPU
Loại mèo nào đắt nhất thế giới?,"
Một con mèo Ba Tư có thể được coi là loại mèo đắt nhất thế giới. Chúng có thể có giá lên đến hàng nghìn đô la.",23.61340641975403,NVIDIA GeForce RTX 3060 Laptop GPU
Thuyết lượng tử ánh sáng là gì?,"
Không biết",7.985544681549072,NVIDIA GeForce RTX 3060 Laptop GPU
