query,result,inference_time,device
APICTA Awards là giải thưởng gì?,"
Giải thưởng CNTT châu Á – Thái Bình Dương (APICTA Awards) là giải thưởng công nhận các ứng dụng, sản phẩm, giải pháp, dịch vụ phần mềm và CNTT xuất sắc của các quốc gia trong khu vực Châu Á – Thái Bình Dương.",27.22119140625,NVIDIA GeForce RTX 4050 Laptop GPU
Thông tin về ông Trương Gia Bình?,"
Ông Trương Gia Bình là một doanh nhân người Việt Nam và là người đồng sáng lập Tập đoàn FPT, một trong những tập đoàn công nghệ lớn nhất Việt Nam. Ông giữ vị trí Chủ tịch Hội đồng quản trị của Tập đoàn từ năm 2006 đến 2011, và hiện là Phó Chủ tịch Hội đồng quản trị. Ông cũng là người sáng lập và Chủ tịch của Công ty Đầu tư FE Credit, một công ty tài chính tiêu dùng hàng đầu tại Việt Nam.",36.288785219192505,NVIDIA GeForce RTX 4050 Laptop GPU
Tập đoàn FPT được thành lập như thế nào?,"
Tập đoàn FPT được thành lập vào ngày 12 tháng 3 năm 1987, bởi ông Trương Đình Quảng.",11.548629760742188,NVIDIA GeForce RTX 4050 Laptop GPU
Ngành học nào phổ biến nhất tại đại học FPT?,"
Ngành học phổ biến nhất tại Đại học FPT là Công nghệ thông tin, tiếp theo là các ngành Kinh tế, Thiết kế đồ họa, Ngôn ngữ, Kiến trúc, Quản trị khách sạn và các nhóm ngành khác có liên quan cho Tập đoàn FPT cũng như cho các tập đoàn toàn cầu.",26.111917972564697,NVIDIA GeForce RTX 4050 Laptop GPU
"Sau khi tốt nghiệp Đại học FPT, sinh viên có thực sự là tìm được việc làm hay không?","
3.  Chương trình đào tạo",11.290807247161865,NVIDIA GeForce RTX 4050 Laptop GPU
Triết lý đào tạo của đại học FPT là gì?,"
Triết lý đào tạo của Đại học FPT là ""Giáo dục đào tạo là tổ chức và quản trị việc tự học của người học."" Họ hướng tới xây dựng mô hình của một trường Đại học thế hệ mới, gắn liền đào tạo với thực tiễn cuộc sống và nhu cầu nhân lực của đất nước, góp phần đưa Giáo dục Việt Nam tiến tới ngang tầm các nước trên thế giới.",33.35904026031494,NVIDIA GeForce RTX 4050 Laptop GPU
Học bổng tại đại học FPT được tính như thế nào?,"
Học bổng tại Đại học FPT được tính dựa trên các yếu tố như kết quả học tập, hoạt động ngoại khóa và sự quan tâm của sinh viên đối với các ngành nghề cụ thể. Các học bổng có thể được phân loại thành học bổng không điều kiện và học bổng điều kiện.

Học bổng không điều kiện được cấp dựa trên kết quả tuyển sinh và có thể bao gồm học bổng toàn phần hoặc một phần. Học bổng toàn phần bao gồm toàn bộ học phí và sinh hoạt phí, trong khi học bổng một phần bao gồm một phần học phí và sinh hoạt phí.

Học bổng điều kiện được cấp dựa trên kết quả học tập của sinh viên trong các môn học cụ thể. Ví dụ, học bổng 100% có thể được cấp cho sinh viên đạt điểm cao trong một số môn học hoặc chương trình cụ thể.

Ngoài ra, sinh viên còn được nhận học bổng dựa trên các yếu tố khác như quốc tịch, dân tộc, tình trạng kinh tế xã hội, thành tích trong các cuộc thi, hoạt động ngoại khóa hoặc sự quan tâm đối với các ngành nghề cụ thể.

Học bổng của Trường Đại học FPT có thể thay đổi theo từng năm và phụ thuộc vào các yếu tố như quy định của nhà nước, nhu cầu và điều kiện của nhà trường. Để biết thông tin chi tiết về học bổng hiện có, sinh viên có thể truy cập trang web của Trường Đại học FPT hoặc liên hệ với văn phòng hỗ trợ sinh viên.",114.56823873519897,NVIDIA GeForce RTX 4050 Laptop GPU
Ý nghĩa của logo FPT là gì?,"
Màu cam tượng trưng cho sự sáng tạo, sinh lực và chia sẻ cộng đồng.",12.152724266052246,NVIDIA GeForce RTX 4050 Laptop GPU
Một ngày nên uống bao nhiêu nước?,"
Một người trung bình nên uống khoảng 2-3 lít nước mỗi ngày, tùy thuộc vào các yếu tố như tuổi, cân nặng, mức độ hoạt động và khí hậu.",16.504464387893677,NVIDIA GeForce RTX 4050 Laptop GPU
Cái lược là cái gì?,"
Không biết",5.783000469207764,NVIDIA GeForce RTX 4050 Laptop GPU
Loại mèo nào đắt nhất thế giới?,"
Một trong những giống mèo đắt nhất thế giới là Bengal. Những chú mèo này có giá lên đến hàng nghìn đô la do đặc tính độc đáo và hiếm gặp của chúng, có nguồn gốc từ việc lai tạo các loài mèo hoang châu Á với mèo nhà.",22.66782236099243,NVIDIA GeForce RTX 4050 Laptop GPU
Thuyết lượng tử ánh sáng là gì?,"
Tôi không chắc bạn đang hỏi về điều gì. Bạn có thể cung cấp thêm ngữ cảnh hoặc làm rõ câu hỏi?",18.225776195526123,NVIDIA GeForce RTX 4050 Laptop GPU
