query,result,inference_time,device
APICTA Awards là giải thưởng gì?,"
APICTA Awards là giải thưởng CNTT châu Á - Thái Bình Dương (Asia-Pacific Information and Communication Technology Awards).",31.633663654327393,NVIDIA GeForce RTX 4050 Laptop GPU
Thông tin về ông Trương Gia Bình?,"
Không có thông tin nào về ông Trương Gia Bình được cung cấp trong văn bản.",17.020262718200684,NVIDIA GeForce RTX 4050 Laptop GPU
Tập đoàn FPT được thành lập như thế nào?,"
Tập đoàn FPT được thành lập vào ngày 12 tháng 3 năm 1987.",19.005231618881226,NVIDIA GeForce RTX 4050 Laptop GPU
Ngành học nào phổ biến nhất tại đại học FPT?,"
Đại học FPT có nhiều ngành học phổ biến, nhưng một số ngành phổ biến nhất bao gồm Công nghệ thông tin, Thiết kế đồ họa, Ngôn ngữ, Kiến trúc và Quản trị khách sạn.",24.503469705581665,NVIDIA GeForce RTX 4050 Laptop GPU
"Sau khi tốt nghiệp Đại học FPT, sinh viên có thực sự là tìm được việc làm hay không?","
Sau khi tốt nghiệp Đại học FPT, các sinh viên thường có thể tìm được việc làm. Chương trình đào tạo của họ cung cấp cho họ một nền tảng vững chắc về kiến thức và kinh nghiệm thực tế, giúp họ phù hợp với thị trường lao động. Ngoài ra, họ đã có cơ hội làm việc trong các dự án và thực tập tại các doanh nghiệp trong hoặc ngoài nước trong thời gian học tập. Hơn nữa, họ có thể tham gia các học phần và hoạt động ngoại ngữ, cũng như học kỳ chuyên ngành nước ngoài và học tập được đào tạo thực tế tại doanh nghiệp. Sự kết hợp",58.95972728729248,NVIDIA GeForce RTX 4050 Laptop GPU
Triết lý đào tạo của đại học FPT là gì?,"
Triết lý đào tạo của Đại học FPT là ""đào tạo là tổ chức và quản trị việc tự học của người học."" Trường đại học hướng tới xây dựng mô hình của một trường đại học thế hệ mới, gắn liền với đào tạo theo thực tiễn cuộc sống và nhu cầu nhân lực của đất nước, góp phần đưa Giáo dục Việt Nam tiến lên ngang tầm với các nước trên thế giới.",39.01647329330444,NVIDIA GeForce RTX 4050 Laptop GPU
Học bổng tại đại học FPT được tính như thế nào?,"
Học bổng tại Đại học FPT có thể được phân loại thành một số loại. Học bổng Nguyễn Văn Đạo là chương trình học bổng cấp một lần và liên tục dành cho sinh viên hệ thống chính quy, bao gồm 50% đến 100% học phí và sinh hoạt phí hàng tháng. Các chương trình học bổng khác, như các chương trình khuyến khích, cũng có sẵn tùy thuộc vào chương trình hoặc ngành cụ thể. Ngoài ra, Nhà trường nhấn mạnh kết nối sinh viên với doanh nghiệp, cung cấp cơ hội OJT (Học kỳ đào tạo trong doanh nghiệp) trong học kỳ 6 cho các chuyên ngành.",62.317078828811646,NVIDIA GeForce RTX 4050 Laptop GPU
Ý nghĩa của logo FPT là gì?,"
Logo Trường Đại học FPT đại diện cho các giá trị cốt lõi của thương hiệu FPT, với màu cam tượng trưng cho sự sáng tạo, sinh lực và chia sẻ cộng đồng, màu xanh lá cây đại diện cho sự phát triển và bền vững, và màu xanh đậm đại diện cho niềm tin, tính minh bạch và chuyên nghiệp.",36.4842746257782,NVIDIA GeForce RTX 4050 Laptop GPU
Một ngày nên uống bao nhiêu nước?,"
Để xác định lượng nước cần tiêu thụ mỗi ngày, các yếu tố như tuổi tác, cân nặng, mức độ hoạt động và khí hậu đóng vai trò quan trọng.

Trung bình, người lớn nên uống khoảng 2-3 lít nước mỗi ngày, có thể tăng lên nếu họ hoạt động nhiều hoặc sống trong khí hậu nóng.

Tuy nhiên, điều cần thiết là tránh tiêu thụ quá nhiều nước, vì điều này có thể dẫn đến các vấn đề như tiểu tiện quá mức hoặc thậm chí là ngộ độc nước.",42.99000549316406,NVIDIA GeForce RTX 4050 Laptop GPU
Cái lược là cái gì?,"
Một lược là một công cụ được sử dụng để gỡ rối hoặc giữ tóc. Nó thường bao gồm các răng hoặc móc cong hoặc phẳng để giữ tóc ở đúng vị trí. Nó có thể được sử dụng cho nhiều mục đích khác nhau, chẳng hạn như gỡ rối, tạo kiểu hoặc giữ tóc ra khỏi mặt trong khi ngủ.",33.23874592781067,NVIDIA GeForce RTX 4050 Laptop GPU
